Player,G,MP,FGA,3PA,FTA,ORB,DRB,AST,STL,BLK,TOV,PF
Grayson Allen,167.0,3545.0,1238.0,788.0,245.0,49.0,357.0,240.0,96.0,31.0,140.0,233.0
Bobby Portis,359.0,7855.0,3491.0,1035.0,556.0,663.0,1717.0,450.0,214.0,133.0,406.0,704.0
Giannis Antetokounmpo,390.0,13165.0,6975.0,1186.0,3569.0,765.0,3553.0,2165.0,505.0,564.0,1298.0,1200.0
George Hill,304.0,7607.0,2295.0,960.0,620.0,204.0,657.0,875.0,262.0,61.0,347.0,514.0
Khris Middleton,355.0,11568.0,5335.0,1934.0,1351.0,227.0,1784.0,1590.0,409.0,63.0,862.0,910.0
Jordan Nwora,67.0,1025.0,433.0,214.0,44.0,34.0,176.0,45.0,35.0,20.0,62.0,67.0
Jrue Holiday,371.0,12717.0,5656.0,1795.0,1084.0,367.0,1324.0,2488.0,582.0,267.0,1024.0,790.0
Rodney Hood,302.0,7212.0,2641.0,1136.0,468.0,108.0,656.0,431.0,194.0,49.0,252.0,529.0
Thanasis Antetokounmpo,105.0,1012.0,267.0,50.0,90.0,96.0,129.0,80.0,42.0,19.0,72.0,146.0
Sandro Mamukelashvili,24.0,273.0,75.0,35.0,12.0,26.0,26.0,13.0,7.0,6.0,9.0,17.0
Wesley Matthews,351.0,9914.0,3023.0,1854.0,560.0,133.0,798.0,704.0,294.0,79.0,354.0,681.0
Semi Ojeleye,271.0,3996.0,830.0,538.0,155.0,143.0,453.0,122.0,74.0,18.0,89.0,296.0
Donte DiVincenzo,169.0,3934.0,1304.0,721.0,190.0,176.0,629.0,403.0,176.0,44.0,213.0,280.0
Brook Lopez,369.0,10026.0,4071.0,1834.0,949.0,392.0,1365.0,549.0,206.0,670.0,498.0,891.0
Lindell Wigginton,1.0,5.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
Malik Beasley,303.0,6276.0,2659.0,1502.0,284.0,118.0,623.0,376.0,172.0,38.0,237.0,357.0
Naz Reid,143.0,2548.0,1122.0,376.0,311.0,182.0,441.0,140.0,73.0,143.0,135.0,358.0
Jaden McDaniels,106.0,2621.0,703.0,347.0,82.0,109.0,312.0,114.0,70.0,89.0,94.0,316.0
Jarred Vanderbilt,133.0,2312.0,464.0,17.0,177.0,258.0,514.0,136.0,138.0,77.0,111.0,253.0
Anthony Edwards,112.0,3715.0,1940.0,869.0,411.0,100.0,439.0,354.0,143.0,62.0,282.0,222.0
Karl-Anthony Towns,365.0,12714.0,6117.0,1720.0,2049.0,1133.0,3104.0,1199.0,302.0,489.0,1015.0,1267.0
D'Angelo Russell,315.0,9310.0,5131.0,2346.0,997.0,159.0,985.0,1898.0,351.0,103.0,931.0,598.0
Taurean Prince,336.0,8269.0,3063.0,1550.0,581.0,179.0,1159.0,608.0,281.0,143.0,547.0,686.0
Patrick Beverley,276.0,7537.0,1943.0,1102.0,388.0,311.0,1044.0,1033.0,305.0,155.0,347.0,876.0
Jaylen Nowell,88.0,1361.0,593.0,247.0,116.0,32.0,141.0,145.0,42.0,19.0,47.0,117.0
Josh Okogie,225.0,4886.0,1232.0,510.0,498.0,216.0,486.0,271.0,227.0,96.0,208.0,467.0
Jordan McLaughlin,110.0,1844.0,494.0,196.0,91.0,34.0,153.0,384.0,103.0,11.0,101.0,88.0
Leandro Bolmaro,24.0,186.0,32.0,12.0,9.0,15.0,20.0,11.0,5.0,0.0,12.0,21.0
Nathan Knight,56.0,463.0,150.0,40.0,95.0,49.0,80.0,22.0,13.0,17.0,27.0,48.0
Jake Layman,229.0,3027.0,969.0,426.0,168.0,100.0,304.0,123.0,98.0,69.0,119.0,250.0
McKinley Wright IV,3.0,9.0,3.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0
Patty Mills,423.0,10334.0,3665.0,2346.0,526.0,124.0,674.0,1147.0,292.0,46.0,465.0,615.0
James Harden,384.0,13972.0,7791.0,3970.0,3921.0,345.0,2342.0,3524.0,636.0,268.0,1847.0,1054.0
DeAndre' Bembry,280.0,5413.0,1462.0,367.0,328.0,171.0,741.0,515.0,283.0,116.0,361.0,501.0
Bruce Brown,234.0,5322.0,1395.0,282.0,329.0,268.0,701.0,467.0,201.0,112.0,225.0,583.0
Kevin Durant,279.0,9567.0,4963.0,1482.0,1787.0,136.0,1852.0,1525.0,227.0,381.0,797.0,543.0
Blake Griffin,294.0,9022.0,4175.0,1369.0,1571.0,377.0,1580.0,1309.0,207.0,101.0,678.0,704.0
Cam Thomas,35.0,607.0,243.0,92.0,35.0,6.0,78.0,35.0,18.0,4.0,26.0,27.0
Jevon Carter,192.0,2634.0,764.0,480.0,70.0,67.0,258.0,255.0,115.0,45.0,97.0,231.0
